X1,FILE_ID,ROMANIZED_TITLE,AUTHOR_LAST,AUTHOR_FIRST,DATE,GENRE,NARRATOR,IK_ENT,thought,textlength,pronouns,YulesK,YulesI,GuiraudC,ttr_mean,ttr_sd,ttr_norm,ttr_cumsum,ent_mean,ent_sd,ent_norm,ent_cumsum,nonpara_ent,period,punct,stopword
108,R_scn_039,Huanxiang,Wang ,Yiren,1925,ROMANTIC,1,6.113057769,0.006395578,12665,0.054165022,194.956621,51.29346183,0.250582465,0.475629208,0.028924888,-0.005537098,0.446,5.26039454,0.083809362,0.009208051,0.734,6.113057769,0.021290323,0.121075269,0.512043011
109,R_scn_040,Culuo,Wang ,Yiren,1925,ROMANTIC,1,6.977530585,0.006907761,12305,0.047379114,167.2282824,59.79849734,0.2501321,0.460311524,0.03444736,-0.007859666,0.184,5.300361292,0.119281309,0.050823134,0.494,6.977530585,0.023579609,0.147204132,0.489445318
110,R_scn_041,Chenmian,Wang ,Yiren,1925,ROMANTIC,1,7.427693848,0.007563386,11635,0.04744306,191.635844,52.18230468,0.25044032,0.478072856,0.02307083,-0.009804034,0.214,5.296267621,0.091360832,-0.005940018,0.226,7.427693848,0.023009061,0.115641392,0.504887935
111,R_scn_067,Cangmangdefannao,Jing,Yinyu,1924,ROMANTIC,1,8.126770916,0.0084014,4285,0.066277713,136.329212,73.35185066,0.250478744,0.544037902,0.01968928,0.034652941,1,5.455078473,0.100898776,0.155515363,1,8.126770916,0.038240918,0.160611855,0.464308477
112,R_scn_063,Zuji,Gu ,Renzhu,1926,ROMANTIC,0,8.223518189,0.006333122,7895,0.0279924,76.18389089,131.2613452,0.25061673,0.496277278,0.028336401,0.029493009,0.666,5.5754297,0.085885709,0.299210149,0.588,8.223518189,0.037581989,0.203687289,0.437333806
113,R_scn_065,Lushang2,Hong ,Lingfei,1926,ROMANTIC,1,8.528092937,0.011024345,4354,0.054892053,109.1828424,91.58948217,0.250687623,0.490217391,0.014071539,0.032607578,1,5.406825505,0.054309412,0.202903056,0.648,8.528092937,0.046563905,0.174694926,0.46596018
114,R_scn_066,Duyan,Huang,Yaomian,1928,ROMANTIC,0,6.455846055,0.005846638,4447,0.043849786,119.5174513,83.66978959,0.250283983,0.454238358,0.029751923,0.014305024,0.652,5.327737351,0.127938853,0.112931454,0.316,6.455846055,0.0234375,0.16875,0.47875
115,R_scn_068,Ailan,Lou,Shiyi,1926,ROMANTIC,0,6.642072384,0.008396203,8218,0.053784376,141.5768959,70.63299371,0.250722683,0.470262391,0.043685807,0.025260129,0.904,5.29881073,0.130895835,0.19720838,0.762,6.642072384,0.028065699,0.169829373,0.496730984
116,R_scn_069,Chunye,Ma ,Zhongshu,1927,ROMANTIC,0,8.126770916,0.010975028,6287,0.029266741,115.9278814,86.26052573,0.25071373,0.496953421,0.030223199,0.018474318,0.334,5.495494733,0.128498654,0.152144353,0.178,8.126770916,0.027670528,0.171385671,0.442728443
117,R_scn_071,Baipixie,Pan ,Hannian,1928,ROMANTIC,1,7.271321346,0.00694927,4317,0.042853834,87.12216814,114.7813492,0.250193798,0.521432741,0.015221798,0.037276599,0.694,5.549112496,0.03488331,0.220850582,1,7.271321346,0.02114899,0.181502525,0.432765152
